permalink,year,fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,inv_num,cs_dummy,biz_dummy,master_dummy
ben-elowitz,2007,63750000,2,0,8,3,0,1,0,0
ben-elowitz,2008,25000000,2,0,8,3,0,1,0,0
ben-elowitz,2009,0,2,0,8,3,0,1,0,0
ben-elowitz,2010,0,2,0,8,3,0,1,0,0
ben-elowitz,2011,0,2,0,8,3,0,1,0,0
ben-elowitz,2012,0,2,0,8,3,0,1,0,0
ben-elowitz,2013,0,2,0,8,3,0,1,0,0
ben-elowitz,2014,0,2,0,8,3,0,1,0,0
ron-gorodetzky,2007,9000000,1,0,4,9,0,0,0,0
ron-gorodetzky,2008,0,1,0,4,9,0,0,0,0
ron-gorodetzky,2009,0,1,0,4,9,0,0,0,0
ron-gorodetzky,2010,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2011,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2012,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2013,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2014,0,2,0,4,9,0,0,0,0
mark-zuckerberg,2007,300000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2008,175000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2009,200000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2010,210000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2011,1500000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2012,0,2,1,3,7,0,0,0,0
mark-zuckerberg,2013,0,3,1,3,8,1,0,0,0
mark-zuckerberg,2014,0,3,1,3,10,3,0,0,0
